Amp,Ton,Toff,Volt
8,100,37,20
8,100,37,30
8,100,37,40
8,100,37,50
8,100,37,60
8,100,37,70
8,100,37,80
8,100,37,90
8,100,37,100
8,100,87,20
8,100,87,30
8,100,87,40
8,100,87,50
8,100,87,60
8,100,87,70
8,100,87,80
8,100,87,90
8,100,87,100
8,100,137,20
8,100,137,30
8,100,137,40
8,100,137,50
8,100,137,60
8,100,137,70
8,100,137,80
8,100,137,90
8,100,137,100
8,100,187,20
8,100,187,30
8,100,187,40
8,100,187,50
8,100,187,60
8,100,187,70
8,100,187,80
8,100,187,90
8,100,187,100
8,100,237,20
8,100,237,30
8,100,237,40
8,100,237,50
8,100,237,60
8,100,237,70
8,100,237,80
8,100,237,90
8,100,237,100
8,100,287,20
8,100,287,30
8,100,287,40
8,100,287,50
8,100,287,60
8,100,287,70
8,100,287,80
8,100,287,90
8,100,287,100
8,100,337,20
8,100,337,30
8,100,337,40
8,100,337,50
8,100,337,60
8,100,337,70
8,100,337,80
8,100,337,90
8,100,337,100
8,100,387,20
8,100,387,30
8,100,387,40
8,100,387,50
8,100,387,60
8,100,387,70
8,100,387,80
8,100,387,90
8,100,387,100
8,100,437,20
8,100,437,30
8,100,437,40
8,100,437,50
8,100,437,60
8,100,437,70
8,100,437,80
8,100,437,90
8,100,437,100
8,100,487,20
8,100,487,30
8,100,487,40
8,100,487,50
8,100,487,60
8,100,487,70
8,100,487,80
8,100,487,90
8,100,487,100
8,100,537,20
8,100,537,30
8,100,537,40
8,100,537,50
8,100,537,60
8,100,537,70
8,100,537,80
8,100,537,90
8,100,537,100
8,100,587,20
8,100,587,30
8,100,587,40
8,100,587,50
8,100,587,60
8,100,587,70
8,100,587,80
8,100,587,90
8,100,587,100
8,100,637,20
8,100,637,30
8,100,637,40
8,100,637,50
8,100,637,60
8,100,637,70
8,100,637,80
8,100,637,90
8,100,637,100
8,100,687,20
8,100,687,30
8,100,687,40
8,100,687,50
8,100,687,60
8,100,687,70
8,100,687,80
8,100,687,90
8,100,687,100
8,100,737,20
8,100,737,30
8,100,737,40
8,100,737,50
8,100,737,60
8,100,737,70
8,100,737,80
8,100,737,90
8,100,737,100
8,100,787,20
8,100,787,30
8,100,787,40
8,100,787,50
8,100,787,60
8,100,787,70
8,100,787,80
8,100,787,90
8,100,787,100
8,100,837,20
8,100,837,30
8,100,837,40
8,100,837,50
8,100,837,60
8,100,837,70
8,100,837,80
