Model,RMSE_SR,RMSE_MRR
Linear Regression,4.32822090791293,155.1696506039719
Random Forest,0.7044982167821271,18.708427371525712
SVM,4.315385120878099,227.92371409507595
KNN,1.8781148379561603,41.668207150902624
